ID,alpha,beta,trial,Q1,Q2,Prob,Choice,Reward,Op1_p,Op2_p
1,0.1,0.5,1,0,0,0.5,2,1,0.7,0.3
1,0.1,0.5,2,0,0.1,0.4875026035157896,1,1,0.7,0.3
1,0.1,0.5,3,0.1,0.1,0.5,1,1,0.7,0.3
1,0.1,0.5,4,0.19,0.1,0.5112481019468548,2,1,0.7,0.3
1,0.1,0.5,5,0.19,0.19,0.5,2,1,0.7,0.3
1,0.1,0.5,6,0.19,0.271,0.48987638373397097,1,1,0.7,0.3
1,0.1,0.5,7,0.271,0.271,0.5,2,0,0.7,0.3
1,0.1,0.5,8,0.271,0.2439,0.5033874481714958,2,0,0.7,0.3
1,0.1,0.5,9,0.271,0.21951,0.5064358945253242,1,1,0.7,0.3
1,0.1,0.5,10,0.34390000000000004,0.21951,0.5155437397751372,1,1,0.7,0.3
1,0.1,0.5,11,0.40951000000000004,0.21951,0.523732154126561,1,0,0.7,0.3
1,0.1,0.5,12,0.368559,0.21951,0.5186225068342759,2,0,0.7,0.3
1,0.1,0.5,13,0.368559,0.197559,0.5213619881291077,2,0,0.7,0.3
1,0.1,0.5,14,0.368559,0.17780310000000002,0.5238264279126817,1,0,0.7,0.3
1,0.1,0.5,15,0.33170310000000003,0.17780310000000002,0.5192280130294123,1,1,0.7,0.3
1,0.1,0.5,16,0.39853279,0.17780310000000002,0.5275632393235746,1,1,0.7,0.3
1,0.1,0.5,17,0.45867951100000004,0.17780310000000002,0.5350519598091752,2,1,0.7,0.3
1,0.1,0.5,18,0.45867951100000004,0.26002279000000006,0.5248116938762475,2,1,0.7,0.3
1,0.1,0.5,19,0.45867951100000004,0.3340205110000001,0.5155773322086019,1,0,0.7,0.3
1,0.1,0.5,20,0.4128115599,0.3340205110000001,0.5098476075155092,1,0,0.7,0.3
1,0.1,0.5,21,0.37153040391000003,0.3340205110000001,0.50468859918076725,2,0,0.7,0.3
1,0.1,0.5,22,0.37153040391000003,0.3006184599000001,0.508863064521669,1,1,0.7,0.3
1,0.1,0.5,23,0.434377363519,0.3006184599000001,0.5167136336033141,2,0,0.7,0.3
1,0.1,0.5,24,0.434377363519,0.2705566139100001,0.5204661521680449,1,1,0.7,0.3
1,0.1,0.5,25,0.49093962716710005,0.2705566139100001,0.5275200362151417,1,0,0.7,0.3
1,0.1,0.5,26,0.44184566445039003,0.2705566139100001,0.5213980533833754,2,0,0.7,0.3
1,0.1,0.5,27,0.44184566445039003,0.24350095251900006,0.5247727886316935,1,0,0.7,0.3
1,0.1,0.5,28,0.39766109800535104,0.24350095251900006,0.5192604830439143,2,0,0.7,0.3
1,0.1,0.5,29,0.39766109800535104,0.21915085726710004,0.5222989783668459,1,1,0.7,0.3
1,0.1,0.5,30,0.45789498820481594,0.21915085726710004,0.5298076289812601,1,1,0.7,0.3
1,0.1,0.5,31,0.5121054893843343,0.21915085726710004,0.5365539950368653,1,1,0.7,0.3
1,0.1,0.5,32,0.5608949404459009,0.21915085726710004,0.5426143755865778,1,1,0.7,0.3
1,0.1,0.5,33,0.6048054464013108,0.21915085726710004,0.5480580066426247,1,0,0.7,0.3
1,0.1,0.5,34,0.5443249017611798,0.21915085726710004,0.5405574517683208,2,1,0.7,0.3
1,0.1,0.5,35,0.5443249017611798,0.29723577154039005,0.530846915881303,2,0,0.7,0.3
1,0.1,0.5,36,0.5443249017611798,0.26751219438635104,0.5345464574420449,1,0,0.7,0.3
1,0.1,0.5,37,0.4898924115850618,0.26751219438635104,0.5277689235537549,1,0,0.7,0.3
1,0.1,0.5,38,0.44090317042655564,0.26751219438635104,0.5216603069376657,2,1,0.7,0.3
1,0.1,0.5,39,0.44090317042655564,0.34076097494771596,0.5125151597988798,2,0,0.7,0.3
1,0.1,0.5,40,0.44090317042655564,0.30668487745294437,0.5167709928879987,2,0,0.7,0.3
1,0.1,0.5,41,0.44090317042655564,0.2760163897076499,0.5205991813417487,1,1,0.7,0.3
1,0.1,0.5,42,0.4968128533839001,0.2760163897076499,0.5275715606603928,2,0,0.7,0.3
1,0.1,0.5,43,0.4968128533839001,0.2484147507368849,0.5310099113733473,2,0,0.7,0.3
1,0.1,0.5,44,0.4968128533839001,0.2235732756631964,0.5341019211065533,1,0,0.7,0.3
1,0.1,0.5,45,0.4471315680455101,0.2235732756631964,0.527915726331604,1,1,0.7,0.3
1,0.1,0.5,46,0.5024184112409591,0.2235732756631964,0.5347992892610223,1,1,0.7,0.3
1,0.1,0.5,47,0.5521765701168632,0.2235732756631964,0.5409832578995916,1,1,0.7,0.3
1,0.1,0.5,48,0.5969589131051769,0.2235732756631964,0.5465381123800568,2,0,0.7,0.3
1,0.1,0.5,49,0.5969589131051769,0.20121594809687676,0.5493070982663604,1,0,0.7,0.3
1,0.1,0.5,50,0.5372630217946592,0.20121594809687676,0.5419073368959424,2,0,0.7,0.3
2,0.1,1,1,0,0,0.5,2,0,0.7,0.3
2,0.1,1,2,0,0,0.5,2,0,0.7,0.3
2,0.1,1,3,0,0,0.5,1,1,0.7,0.3
2,0.1,1,4,0.1,0,0.52497918747894,2,0,0.7,0.3
2,0.1,1,5,0.1,0,0.52497918747894,2,0,0.7,0.3
2,0.1,1,6,0.1,0,0.52497918747894,1,1,0.7,0.3
2,0.1,1,7,0.19,0,0.5473576181430894,1,1,0.7,0.3
2,0.1,1,8,0.271,0,0.5673383870169968,1,1,0.7,0.3
2,0.1,1,9,0.34390000000000004,0,0.585137567407375,1,1,0.7,0.3
2,0.1,1,10,0.40951000000000004,0,0.6009703802226868,2,0,0.7,0.3
2,0.1,1,11,0.40951000000000004,0,0.6009703802226868,2,0,0.7,0.3
2,0.1,1,12,0.40951000000000004,0,0.6009703802226868,1,1,0.7,0.3
2,0.1,1,13,0.46855900000000006,0,0.6150426343581294,2,0,0.7,0.3
2,0.1,1,14,0.46855900000000006,0,0.6150426343581294,1,1,0.7,0.3
2,0.1,1,15,0.5217031000000001,0,0.6275459217393139,2,1,0.7,0.3
2,0.1,1,16,0.5217031000000001,0.1,0.6038907148253342,2,1,0.7,0.3
2,0.1,1,17,0.5217031000000001,0.19,0.5821737095132455,1,0,0.7,0.3
2,0.1,1,18,0.4695327900000001,0.19,0.569431677463374,1,0,0.7,0.3
2,0.1,1,19,0.4225795110000001,0.19,0.5578841841531154,1,1,0.7,0.3
2,0.1,1,20,0.4803215599000001,0.19,0.5720748542958933,1,1,0.7,0.3
